source_id,job_title,job_description,company_name,mid_salary_sgd,pay_period,country_location,city_location
27,DevOps Engineer,"6+ years of experience as DevOps engineer or similar software engineering role
Experienced in managing and maintaining the infrastructure system in AWS
Experienced in managing and setting up new environments in PCF (Pivotal Cloud Foundry) for micro services deployment
Experienced in creating dashboards using Splunk / Grafana
Experienced in GitLab CI/CD
Experienced in Docker and Kubernetes
Experienced in using scripting languages like python/groovry/go/shell scripting to automate day to day ops, pipeline, and deployments to AWS/PCF
Experienced in creating dashboards, intelligent alerts, integrate AppD, Pagerduty, Slack, GitLab, etc.
Strong understanding of CICD practices
Mandatory hands-on experience in any MDM – Mobile device management platform(preferably Mobile Iron)

6+ years of experience as DevOps engineer or similar software engineering role
Experienced in managing and maintaining the infrastructure system in AWS
Experienced in managing and setting up new environments in PCF (Pivotal Cloud Foundry) for micro services deployment
Experienced in creating dashboards using Splunk / Grafana
Experienced in GitLab CI/CD
Experienced in Docker and Kubernetes
Experienced in using scripting languages like python/groovry/go/shell scripting to automate day to day ops, pipeline, and deployments to AWS/PCF
Experienced in creating dashboards, intelligent alerts, integrate AppD, Pagerduty, Slack, GitLab, etc.
Strong understanding of CICD practices
Mandatory hands-on experience in any MDM – Mobile device management platform(preferably Mobile Iron)

B.E / B. Tech / MCA / Masters in computer science or any other equivalent experience is preferred.",HyperNova Solutions,10791.67,Monthly,Singapore,Singapore
28,Full Stack Developer,’ thrilled announce ’ hiring grow team product ! 3play medium offer truly unique opportunity work small team developer company offer startup-minded size culture robustly backed steady stream customer project every day system process hundred hour video content helping u improve expand way people consume online medium make web ’ video content accessible ’ also excited brand-new product pipeline ! looking enthusiastic full stack developer strong work ethic eager learn solve challenging problem build new feature product pair developer well work independently project given every opportunity show ’ made take charge project need little leadership ’ work large new product fix small bug everything role responsibility expand transcript editing tool used hundred captioners customer efficiently edit time-synchronized text along video source add creative new feature interactive transcript video accessibility plugins implement new feature request well fix customer contractor facing application build integration third-party apis including video hosting platform cloud-based machine learning service speech-to-text text-to-speech service aggregate analyze visualize large data set across hundred thousand hour billion word worth uploaded video content pitch team component application demand immediate attention position requirement 3+ year experience demonstrable aptitude ruby rail another web development framework strong communication collaboration skill determination step challenge eagerness learn share knowledge good problem solving debugging ability self-motivation drive progress including collaborating others insatiable curiosity discover everything work hood least one 1 2+ year professional experience writing kind software ; 2 degree cs-related field nice proficiency coding language ruby python java c++ good knowledge javascript html cs familiarity algorithm algorithmic complexity git & github collaborative version control system company 3play medium rapidly growing profitable start-up making huge impact way people consume online medium provide premium captioning transcription audio description translation solution 2500 higher ed enterprise medium government customer goal simplify workflow flexible apis secure online account system integration multitude player platform lecture capture system got start 2007 mit sloan based boston work environment awesome work environment ! team hard working laid back fun politics wasteful meeting project get done quickly efficiently team dedicated building successful company spacious office lot natural light game room friendly dog named bo share view ambition time need work long difficult hour work fun interesting gratifying work direct impact company ’ success location perk boston – fort point red line near south station heart boston ’ thriving innovation district boston seaport new restaurant bar popping regularly surrounded boston ’ buzzing tech scene benefit competitive compensation stock option medical dental vision plan 401k vacation/sick pay disability life insurance transportation subsidy company outings/social event beer/kombucha/cold brew tap,Cobalt Technologies,101000.0,Annual,China,Wuhan
29,Java Developer,"Looking for a mid-level to senior full-stack (heavy C# and React) developer with 5-7 years professional software development experience.

Required:
4-5 years developing web applications in Microsoft .NET Framework
Experience with frontend + backend + database development in an agile environment
Equal parts humility and courage
Experience with C# preferred (or comparable experience in Java or Python)
Self-motivated and able to learn new technologies
Excellent communication skills + a customer service mindset
The ability to understand user needs + translate those into technical requirements
Preferred/Desired:
Familiarity with database projects + SQL migrations
Experience with React strongly desired (Angular or Vue experience will substitute)
Experience with Git (and/or TFS) + similar source control systems
Experience with Azure DevOps and/or distributed development environments
Job Type: Full-time

Pay: $68,142.00 - $105,000.00 per year

COVID-19 considerations:
Remote work is possible with this position with occasional in-office team meetings .

Experience:
.net: 5 years (Preferred)
Work authorization:
United States (Required)
Work Location:
Multiple locations
Work Remotely:
Yes",Zenith Ventures,8875.0,Monthly,China,Beijing
30,Software Engineer,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

0ur company


Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences. We’re passionate about empowering people to craft alluring and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to building exceptional employee experiences where everyone is respected and has access to equal opportunity. We realise that new ideas can come from everywhere in the organisation, and we know the next big idea could be yours.

The challenge: We are looking for an innovative and passionate software engineer with a strong interest & practical experience in designing & implementing automation testing frameworks for cloud based services.

Responsibilities:

Owning a feature from conception to delivery:
Engage with customers and product management teams (co-located in Bangalore) to understand the need and design an innovative solution.
Elaborating the feature scope through competition analysis, research on recent technologies and trends to deliver the best-in-class and often next-in-class solutions and iteratively work with customers to finesse the solution.
Writing use cases, effort estimation and planning.
Designing, coding and production support of the feature.
Handling non-functional requirements like scalability, performance, resilience. Participate in the evolution of best practices.
Display thought leadership through presentations in various aspects of computer science.
Requirements:

3-5 years of experience as a full stack developer. Knowledge of java script & java programming languages with expertise in any one. Strong computer science fundamentals & deep data structures knowledge. Strong problem solving skills.

Good to have skills:

Knowledge on AWS or any other cloud platform. Knowledge of Databases (MySQL, PostgreSQL, ORACLE etc.)

At Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists. You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.

If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.

Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, or veteran status",HyperNova Systems,7750.0,Monthly,China,Chengdu
31,Flutter Developer,"Do you want to grow as a developer and build things that matter?

Are you searching for an engineering team that operates on a global scale very few companies reach? Are you looking to code and build features in one of the top-rated eCommerce mobile apps in the world? If you are a smart engineer who cares about being great at their craft, executes at a high level, and loves to work as part of a team, and have fun doing it, you should join us.

At Groupon, we have a mission to become the daily habit in local commerce and fulfill our purpose of building strong communities through thriving small businesses by connecting people to a vibrant, global marketplace for local services, experiences, and goods. In the process, were positively impacting the lives of millions of customers and merchants around the world. Even with thousands of employees spread across multiple continents, we still maintain a culture that inspires innovation, rewards risk-taking, and celebrates success. If you want to take more ownership of your career, then you're ready to be part of Groupon.

Groupon's Mobile Engineering Team is making a clear impact on our bottom line. And with the growth of our mobile marketplace, they are getting more internal and external exposure every single day. Here, you will focus on the Flutter app, which is at the heart of our story. It connects millions of Merchants with local customers and services that they love all over the world.

You will work on projects and code that directly impact the user experience. As a Senior Flutter Engineer, you will lead projects and foster engineering excellence as we challenge the status quo and take on large-scale problems. On this team, you will challenge each other, learn together, and never let a cat gif go unnoticed.

We offer the scale, scope, and impact a smart and creative developer like you craves. If you have the ambition to work on a massive scale and love owning your own road map, we want to talk to you.

Youll spend time on the following:
You will develop the code that improves our overall Merchant mobile app experience.
Work alongside other partners (such as Product Managers, Designers, UX/UI, and QA) to build and ship features that go into the main Groupon application.
Rapidly add new functionality, tackle complex problems, and ship defect-free code at a rapid pace
Work with other developers across Groupon to ensure were using the right methodologies and practices
Help build our technical execution plans and ensure we hit all expectations
Teach and mentor fellow engineers, and work to foster an environment of development and inclusivity.
Were excited about you if you have:
You need 6+ years of experience in software design and development with at least 4 years in native mobile with a BS or MS in computer science (or related field)
As an independent, self-motivated, and an avid technologist, you should have a strong interest in mobile and intuition for UX and consumer behavior
2 years of Flutter / Hybrid apps experience and 4+ years experience in iOS/Android (Java/Kotlin).
Experience writing testable code & unit tests
Experience working with other hybrid mobile platforms a plus
Experience building one or more deployed mobile applications preferred
An interest in understanding the why, and a desire to pull the thread to understand how things work
The merchant engineering team is growing significantly, and there are numerous opportunities available - were going to change the face of local commerce, and if youre up for the challenge, please get in touch!


Groupon's purpose is to build strong communities through thriving small businesses.

To learn more about the world's largest local ecommerce marketplace,
click here for the latest Groupon news.
Plus, be sure to

check out the values

that shape our culture, guide our strategy and make our company a great place to work. And just don't take our word for it.

Hear from real Groupon team members

and learn more about our inclusive employee groups. If all of this sounds like something that's a great fit for you, then click apply and let's see where this takes us.

Groupon is an Equal Opportunity Employer

Qualifications for employment, promotion, and other terms and
conditions of employment are based upon the ability to perform the job.
Equal-employment opportunities are provided to all applicants and
employees without regard to race, creed, religion, color, age, national
origin, sex, disability, medical condition, sexual orientation, gender
identity or expression, genetic information, ancestry, marital status,
military discharge status (excluding dishonorable discharge), veteran
status, citizenship status, or other legally protected status. We are
all responsible for maintaining this policy. Groupon is committed to
providing reasonable accommodations for qualified individuals with
disabilities and disabled veterans in our job application procedures. If
you need assistance or an accommodation due to a disability, you may
email us at hraccommodations at groupon.com. If you have concerns
related to Groupon’s equal employment opportunities, you may contact
Groupon's Ethics Reporting Service Ethicspoint.",LumaCore Analytics,4791.67,Monthly,China,Wuhan
32,Database Administrator,position information job title research administrator department electrical computer engineering full time/part time full-time requisition number s18494 open date 06/26/2018 close date salary information salary commensurate experience qualification work schedule monday friday 8 a.m. 5 p.m. benefit eligible yes eligible overtime position summary research administrator responsible leading administering pre- post-award activity ece faculty providing guidance training ece departmental research administrator serving departmental reviewer grant submission s/he serve designated research administrator handling financial administrative research process designated group ece faculty member includes pre- post- award activity regular communications/meetings faculty staff ethical management fund lead research administrator advises pi effective way achieve effective quality proposal coordinate timely submission process ensuring appropriate approval s/he serf compliance/oversight capacity monitoring budget spending approving capital equipment requisition providing guidance counsel stewardship sponsored research fund education required bachelor 's degree concentration / degree type substitution education requirement may substitute additional related experience beyond required equivalent year year basis lieu education requirement education preferred bachelor ’ degree business administration accounting finance experience required 3 year type experience related administrative experience includes research administration experience i.e grant proposal preparation submission various governmental agency nsf dod doe darp nih etc. substitution experience requirement may substitute additional related education beyond required equivalent year year basis lieu experience requirement experience preferred five year experience utilizing bba business related degree corporate higher education environment proficiency organizational financial management corporate higher education management grants/contracts federal/state agency experience university policy procedure highly desirable license/certification required specified license/certification preferred specified skill required intermediate knowledge word processing spreadsheet email database software program working knowledge research administration guideline regulation policy organizational skill customer service problem-solving skill preferred well-organized deadline oriented ability problem solve work independently fast pace environment utilization database system software spreadsheet excel strong written verbal communication skill write clear concise correspondence wide range topic internal / external contact work wide variety individual rice government industry external affiliate department collaborating institution physical demand must able work office environment often computer workstation much working day must able move building widely separated college campus stair requires long period sitting working front computer – eight hour per day working condition may require long hour availability outside normal working hour weekend quarterly basis due grant deadline and/or work major project office environment fast-paced sometimes stressful due interruption require successful candidate multi-tasking security sensitive yes,Solstice Digital,70500.0,Annual,Singapore,Singapore
33,Java Developer,"Paper Mart is a fast growing, innovative Industrial & Retail Packaging Company located in Orange. We have a brick and mortar back bone, (est. 1921) and have the largest packaging site on the web with over 26,000 items.

Paper Mart is looking for a sharp individual to join the IS Department. You will be working in the IS department where you will play a key role developing systems including but not limited to e-commerce website, mobile web applications, WMS, ERP and proprietary in house systems.
Software Developer Duties and Responsibilities
Ability to consistently produce clean, efficient software programs based on users specifications
Ability to integrate software components and third-party programs to meet specifications
Reliability and proficiency in verifying and deploying programs and systems
Ability to troubleshoot, debug, upgrade, and improve the performance of existing software
Collaborative mindset and willingness to recommend and execute improvements
Ability to create technical documentation for reference and reporting
Test and maintain software products to ensure strong functionality and optimization
Recommend improvements to existing software programs as necessary
Ability to clearly communicate with management, technical colleagues, and users community
Must have good knowledge of SDLC and Agile development process and can perform at each
Software Developer Requirements and Qualifications
BS/BA in Computer Science, Engineering or a related field
Significant experience as a successful Software Developer, Software Engineer, or similar role
Strong working knowledge of Agile development methodologies
Extensive experience with software design and development in a test-driven environment
Solid knowledge of C#, ASP.NET Core MVC, JavaScript, CSS, JQuery, HTML, responsive web design (using HTML5, Bootstrap Angular), Web Services, XML, JSON
Relevant experience with Sql Server databases (T-SQL, queries, stored procedures, triggers )
Ability and willingness to learn new languages and technologies
Excellent verbal and written communication skills
Resourcefulness and troubleshooting aptitude coupled with focus and follow-through
Proficient understanding of code versioning tools such SVN
Database design is a plus
Sql Server Reporting Services
Microsoft Office
Red Prairie with MOCA, and Java programming is a plus
Microsoft Dynamics – Great Plains – Dexterity development is a plus",Vertex Networks,6916.67,Monthly,China,Suzhou
34,Network Administrator,"Back
Network Data Admin-Lead
CAROUSEL_PARAGRAPH
Pune, India
Tech Hiring
2535574
Share Job
Share Job

Job Description

Key skills required for the job are: n Network Data Admin-L3, (Mandatory) and Routing and Switching-L3, (Optional).As a Lead Administrator, you should be able to act as a Single point of contact for the technical tower in front of the customer management. Ensure proper communication and quick resolution as a crisis manager. Responsible for Vendor Management and people management. nDrives day to day operations and work plan allocation/management. Conduct periodic reviews with teams. Weekly and monthly status reports to higher management. Participate in business meetings with various stake holders. Take corrective actions based on the customer satisfaction surveys. Drive service improvement programs. Ensure adherence to quality / security standards defined for the engagement Perform Trend analysis, identify top few incidents and work with respective teams/individual to minimize the incidents. Effort estimation/reviews on need basis for new projects. Minimum work experience: 5 - 8 YEARS ""As a Lead Administrator, you should be able to act as a Single point of contact for the technical tower in front of the customer management. Ensure proper communication and quick resolution as a crisis manager. Responsible for Vendor Management and people management.
Drives day to day operations and work plan allocation/management. Conduct periodic reviews with teams. Weekly and monthly status reports to higher management. Participate in business meetings with various stake holders. Take corrective actions based on the customer satisfaction surveys. Drive service improvement programs. Ensure adherence to quality / security standards defined for the engagement Perform Trend analysis, identify top few incidents and work with respective teams/individual to minimize the incidents. Effort estimation/reviews on need basis for new projects.""

Apply
Share Job
Share Job

CAROUSEL_PARAGRAPH",Meridian Analytics,24.52,Hourly,Singapore,Singapore
35,Flutter Developer,"Create multi-platform apps for Android and IOS using the Flutter development framework.
Flutter SDK & Dart programming language
Experience with mobile platforms like Android and IOS
Flutter widgets for Android and IOS
Participation in the process of analysis, designing, implementation, and testing of new apps
Developing mobile applications in Flutter
Apply industry standards during the development process to ensure high quality
Job Type: Full-time

Salary: ₹12,000.00 - ₹15,000.00 per month

Experience:
software development: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Required)
Benefits:
Work from home
Flexible work hours
Industry:
IT Operations & Helpdesk
Work Remotely:
Temporarily due to COVID-19",HyperNova Technologies,68000.0,Annual,China,Nanjing
36,Machine Learning,"At Aera, we deliver the cognitive technology that enables the Self-Driving Enterprise™: a Cognitive Operating System™ that connects you with your business and autonomously orchestrates your operations. Aera's Cognitive OS leverages the best of artificial intelligence, machine learning, natural language processing, big data, and enterprise domain expertise to deliver Cognitive Automation at scale for some of the world's largest companies.

Aera Technology is looking for a Machine Learning Engineer to work from our Pune office.
Responsibilities
You will be responsible for designing, implementing, monitoring and maintaining our machine learning systems that power the Aera platform
You will be working on new and challenging Engineering Problems to operationalize Data Science
You will be working in a highly collaborative environment with other experts in Data Science, Engineering and DevOps teams
Design and implement state of the art Machine Learning approaches
Building core machine learning infrastructure, which includes distributed systems, abstractions, development tools, model hosting /serving/ inference pipelines
About You
B.E./B.Tech in Computer Science/Computer Engineering
3-8 years of experience in software engineering & architecture
At least 2 years of experience in designing and deploying Machine Learning Systems
Strong skills with Python
Experience in working with large data sets and pipelines, distributed systems for machine learning using frameworks such as Apache Spark
Experience in building Machine Learning models and experience using libraries such as scikit-learn, pandas, tensorflow, keras, etc.
Experience in technologies like Spark, Hadoop, Kafka
Take end-to-end ownership of Machine Learning systems - from data pipelines and training to the realtime prediction engine
Experience in setting up Data and ML Pipelines and ML engineering tools like MLFlow, Data Version Control
Experience in building containerized applications/microservices using Docker and Kubernetes
Experience in Agile Methodology, CI/CD, Jenkins, GIT & Jira
Should possess strong problem-solving skills
Excellent verbal and written communication skills
You take complete ownership of your work and are self-driven
Our Environment
AWS hosted infrastructure
Linux
Spark
Python
At Aera, we're on a mission to solve the biggest, most intractable challenges in the world of enterprise software. We envision the rise of the Self-Driving Enterprise: a more autonomously functioning business with a central operating system that connects and orchestrates business operations. Our Cognitive Operating System is increasingly used by the world's largest companies to fundamentally transform their organizations and how work is done.

If you share our passion for building the next generation of enterprise software, and deploying it for the most sophisticated customers in the world, you’ve met your match. Headquartered in Mountain View, California, we're growing fast, with teams in Mountain View and San Francisco (California), Bucharest and Cluj-Napoca (Romania), Paris (France), Munich (Germany), London (UK), Pune and Bangalore (India), Sydney (Australia) and Singapore. So join us, and let’s build the future of work together!",Aster Networks,122000.0,Annual,China,Guangzhou
37,Network Administrator,"Urgently reqd in a college in Mohali
Network Administrator for handling all the networking facilities in the campus
experience of at least 3 yrs must in the same field.
Male candidate Only
Job Type: Full-time
Salary: ₹11,474.00 - ₹27,240.00 per month
Schedule:
Morning shift
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Network Administration: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)",BluePeak Consulting,94000.0,Annual,Singapore,Singapore
38,Java Developer,"What are my roles and responsibilities?
The role requires an engineer to be a part of the core engineering team and focus on development of robust, scalable, extensible software applications based on Java/J2EE technology. You will provide technical support to development teams. Your role requires development / testing different components of the application
What skills and experiences would I bring into this role?
B.E / B.Tech / MCA in computer science or a related field
Should have good knowledge of java, j2ee related technology
Good understanding of simple data structures and algorithms
Good analytical, problem solving skills and communication skills.
Self-motivated, energetic, and amicable personality
Ability to communicate clearly and effectively
Clearly demonstrated passion for programming
Focused and hardworking individual and willingness to put in extra effort as and when required.
Ability to work effectively in teams
ABOUT IDEAPOKE
Emerging Technologies | Bengaluru, India
Ideapoke is a global, fast growing start-up with offices in Bengaluru, Bay Area, Tokyo and Shanghai. Our software, search and insights power the innovation agenda of the largest Fortune 500 and Global 2000 companies worldwide.
Our growth is powered by our people and their unwavering commitment to the company-wide vision, strong work ethic and an entrepreneurial do-it-all spirit. We push the boundaries and break existing thought processes with the strong belief that innovation amplifies success in every piece of work we do and by extension, amplifying the success of our clients.
Ideapoke’s like to constantly learn, grow and make a difference. Join us and be part of our story.
Contract length: 6 months
Job Type: Internship
Salary: ₹10,000.00 per month
Schedule:
Morning shift
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Speak with the employer
+91 9902125600",Solstice Consulting,38.46,Hourly,China,Beijing
39,Flutter Developer,"As a Mobile App Developer, you will create multi-platform apps for iOS and Android using Google’s Flutter development framework.
Minimum 1-year full-time professional developer (mobile)
Willing to work with cross-platform frameworks.
Willing to learn and work on different mobile platforms/ frameworks when needed.
Contract length: 12 months
Job Types: Full-time, Contract
Salary: ₹15,000.00 - ₹35,000.00 per month
Schedule:
Morning shift
Experience:
total work: 1 year (Required)
Location:
Ahmedabad, Gujarat (Required)
Work Remotely:
No",Zenith Innovations,102000.0,Annual,China,Nanjing
40,Wordpress Developer,"(Experience: Fresher – 4 Years) Location: Ahmedabad

Job Overview:
WordPress Developer will be responsible for various delivery and maintenance tasks across our portfolio of WordPress websites.
Job Description:
Developing WordPress, Woocommerce plugins & customization.
Developing and maintaining complex WordPress-based applications.
Supporting client queries in a fast-paced environment.
Using bug tracking, project tracking, and Git.
Developing front end using ReactJS.
A variety of miscellaneous development tasks involved in the web development life cycle from start to finish.
Heavy lifting data migration.
Skills:
Experience and knowledge in Wordpresss CMS
Strong knowledge of theme and plug-ins/widgets customization that matches with WordPress standard.
Good understanding of front-end technologies, including HTML5, CSS3, JavaScript, jQuery.
Fundamental knowledge of CorePHP and MySQL.
Knowledge of OOPS and MVC is mandatory.
Database Optimization.
Advance Knowledge of Woocommerce & Its Customization.
Good understanding of cross-platform and cross-browser issues.
Good knowledge and understanding of web services, CRM, CMS, Shopping-cart, payment gateway & other API integration, etc
WordPress plugin development.
Experience of hooks, filters, and actions.",Vertex Ventures,116500.0,Annual,Singapore,Singapore
41,Machine Learning,"PipeCandy is a 'one of its kind', 'data science' driven market intelligence platform that tracks the global eCommerce landscape. Our insights are used by well known global brands and startups. We are venture funded by India, the US, and Singapore based investors.

About the Role:

We are building a complex data product that aims to revolutionize industry intelligence by applying sophisticated machine learning & AI algorithms on millions of data points.

We are looking for a Data Scientist to ensure that the quality of this product always stays top-notch and world-class. If you love working with data, have an eye for detail and a strong adherence to quality then we’d love to hear from you.

This is a senior position where the analyst will work under the general direction of the Chief Data Scientist and senior staff in the Data Management team. The primary responsibility is to treat data as an asset and become the expert source for data standards and policy-related questions.

Key Responsibilities:

Manage the creation, deployment, and maturity of data governance processes and technology including master data, metadata, and data quality initiatives
Identify opportunities to ensure transparent, high-quality data across sources and platforms
Review, clean and add business records and formatting rules to every taxonomy/hierarchy in the product database in support of long-term data governance.
Develop processes and tools for data cleansing, de-duplicating, and other data preparation, standardization, and transformation
Collaborate with various teams to standardize data and ensure adherence to data ingestion and governance standards
Conduct root cause analysis and proposed improvement solutions
Leverage subject matter expertise to ensure data products are understood by the business users
This position requires a proficient level of experienced analytical and programming capabilities, defining requirements, developing and/or maintaining computer applications/systems, and ability to meet business needs within deadlines.

Here’s what we’re looking for in you:

Works to develop analytical/ data mining/ machine learning models using Python, R and other tools
Gather, evaluate and document requirements, ability to build an algorithm (statistical/ data mining/ machine learning) based on requirements and specifications provided
Works with data and is able conceptualize and improvise analytical solutions to problems
Ability to deploy analytical algorithms within a larger business application
Ability to visualize data and results of data analysis & analytical models
Create model documentation as per client/ regulatory standards

Qualifications & Competencies Required:

1+ years of total relevant experience
Degree in a quantitative field (Math, Statistics, Economics, Physics, and/ or Engineering, MBA)

Desired:

Ability to work with business and technology teams to build and deploy an analytical solution as per needs
Ability to multi-task, solve problems and think strategically
Strong communication and collaboration skills

Skills Required:

Experience with statistical analysis using R and Python. Experience with Spark and ML as plus
Good experience in data discovery, exploration and algorithm development
Experience with working on large data sets and developing scalable algorithms
Hands-on experience of machine learning and data mining algorithms such as decision trees, classifiers, text mining/ NLP, clustering, and regression
Exp in SAS, SPSS, or scripting languages such as Java a plus
Knowledge of Hadoop and other distributed computing platforms
Broad knowledge of data mining, NLP algorithms, machine learning algorithms and other techniques technologies
Strong analytical and problem solving skills
Excellent presentation and communication skills

Perks:

Flat organization structure with an opportunity to work very closely with the founders
Access to learning, training sessions outside of your immediate line of work
Access to group kindle account with latest titles
Stocked pantry, of course",EverGrid Digital,9750.0,Monthly,China,Beijing
42,Machine Learning,"Expires on
:
November, 30 2020
Job Code
:
VL/UT/0311/D/219
Hyderabad
Experience
:
5+ Years
Location
:
Hyderabad
We are looking for Data scientist with Lifescience domain experience
Responsibilities
Direct client interaction and need to work independently
Requirements
Really a deep Statistics knowledge along with experience in Data Science and the need to drive the topics independently with at least 5+ years of experience
Ability to do Statistical analysis, Statistical Process Control (SPC), build AI/ML models with relevant KPIs, monitoring, machine learning and visualization are the key expectations.",BrightForge Technologies,124000.0,Annual,Singapore,Singapore
43,Flutter Developer,"Responsibilities:
Design and Build sophisticated and highly scalable apps using Flutter.
Build custom packages in Flutter using the functionalities and APIs already available in native Android and IOS.
Translate and Build the designs and Wireframes into hight quality reaponsive UI code.
Write efficient queries for core Data.
Use of Model-View-Controller ( MVC) and Model-View-ViewModel-Controller (MVVM) as it relates to designing, developing architecture and developing maintainable, testable and functional software that meets product requirements.
Explore feasible architectures for implementing new features.
Resolve any problems existing in the system and suggest and add new features in the complete system.
Suggest space and time efficient Data Structures.
Follow the best practices while developing the app and also keeping everything structured and well documented.
Use CI/CD for smooth deployment.
Document the project and code efficiently.
Manage the code and project on Git in order to keep in sync with other team members and managers.
Communicate with the Project Manager regarding status of projects and suggest appropriate deadlines for new functionalities.
Ensure security guidelines are always followed while developing the app.
Validate the cloud system to ensure any new changes do not compromise security of the backend server.
Suggest new features and/or enhancements.
Consulting with our customer facing representatives about software system design and maintenance.
Interact with the Clinical Specialists and Product Manager to help understand end-user feedback.
Maintaining software through product lifecycle including design, development, verification and bug fixes.
Connect regularly with the Quality Assurance Specialist to deliver stable app.
Resolve all the bugs reported by the Quality Assurance Specialist in a timely manner.
Perform time profiling and memory leaks assessment.
Execute app verification protocol.
Write tests for the App.
Following company policies and quality procedures to ensure quality product deliverables.
Requirements:
Must Have:
Flutter: To build cross platform mobile apps for Android, IOS and Web. This should include from making responsive UIs to efficiently query data and also mange states in an optimized mannner.
Native Android and IOS: To build custom Flutter Packages.
Firebase: Should have experience with Cloud Firestore, Push Notifications, Cloud Functions and Analytics.
Adobe XD: Should know how to use Adobe XD to use the design file and use it to build the app.
Git: To manage and collaborate in different projects with the rest of the team.
Good To Have:
Angular
Bootstrap
JavaScript
Job Type: Full-time
Salary: ₹219,206.00 - ₹1,137,486.00 per year
Benefits:
Cell phone reimbursement
Commuter assistance
Food allowance
Paid sick time
Paid time off
Work from home
Schedule:
Day shift
Evening shift
Flexible shift
Monday to Friday
Morning shift
Night shift
Rotational shift
Weekends
Supplemental Pay:
Commission pay
Joining bonus
Overtime pay
Performance bonus
Quarterly bonus
Shift allowance
Yearly bonus
Experience:
flutter: 1 year (Required)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19
Speak with the employer
+91 7709311224",Northstar Analytics,5833.33,Monthly,China,Hangzhou
44,iOS Developer,"Position Overview:

We are looking for iOS Developers responsible for the design and development of high volume end user products aimed at a range of iOS devices. Your primary focus will be development of iOS applications and shipping the project/module you own. A commitment to collaborative problem solving, high quality code, and a passion for technology is essential.

Responsibilities:
Design and build applications for the iOS platform using Swift, Rx Swift, and Objective-C.
Gradually take on more responsibility and have a bigger impact, take on more challenging tasks, mentor others, lead a module, manage a team.
You own your modules end-to-end. We provide a sandbox to experiment and trust you to work through issues and deliver.
Stay up-to-date with technical trends. Be a part of RSL's learning culture by giving Tech Talks.
Skills:
3-5+ Years Experience.
Development experience in Objective-C, Swift or Rx Swift.
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Understanding of Apples design principles and interface guidelines.
Knowledge of the iOS ecosystem and the libraries available for common tasks.
Self-motivated, eager to learn, with strong logical reasoning skills.
Passion for quality.
Perks:
Core, hands-on development work on live projects.
Great compensation packages and bonuses, directly tied to your performance.
Laid back culture, no dress code. Free daily catered lunch, free medical and life insurance.
Why Should You Join Us
Work Culture: Working under friendly and Cool environment.
No Politics: We always try to keep away from all sorts of politics.
Learn and Grow Opportunities: Working will Senior Experts on live projects will help anybody to grow.
Opportunities to Work On Technology of Startups Ideas from Scratch.
Bangalore, India’s IT Silicon Valley
Work from anywhere, we really least care about the Work Location.",BrightForge Digital,74500.0,Annual,China,Hangzhou
45,PHP Developer,"Key Skills

Laravel 5+
PHP
MySQL
JavaScript
Git

Minimum experience

1 Year +

About this job

We are looking for PHP developers with a 1 year + experience in Laravel PHP framework & MySQL. Must have working experience with Laravel 5+",Zenith Technologies,7083.33,Monthly,China,Shanghai
